text_id,content_text,author_type,model_source,prompt_complexity_score,perplexity_score,burstiness_index,syntactic_variability,semantic_coherence_score,lexical_diversity_ratio,readability_grade_level,generation_confidence_score
TXT_0001,learning pattern detection algorithm pattern network system generation data system detection detection algorithm network,AI,Human,0.029,73.75,0.953,0.465,0.351,0.187,12.2,0.162
TXT_0002,algorithm algorithm data research network model algorithm language research model language,Human,Claude,0.605,43.11,0.054,0.952,0.314,0.636,9.8,0.012
TXT_0003,analysis language generation research pattern language content analysis detection detection generation language,Human,GPT-4,0.396,59.97,0.709,0.945,0.684,0.5,13.5,0.171
TXT_0004,data language system learning content data network data system network content,AI,GPT-4,0.299,18.99,0.532,0.78,0.216,0.103,12.9,0.838
TXT_0005,model learning content language model generation content generation network model learning language language system,AI,Human,0.867,82.45,0.478,0.602,0.42,0.198,6.4,0.022
TXT_0006,pattern algorithm data analysis learning model algorithm learning model research research,AI,Gemini,0.747,43.29,0.223,0.455,0.188,0.48,5.5,0.233
TXT_0007,learning research pattern model generation language model generation learning,Human,GPT-4,0.858,68.37,0.706,0.356,0.008,0.888,14.7,0.757
TXT_0008,algorithm system language content algorithm network pattern model network algorithm generation content language,AI,Gemini,0.495,75.29,0.191,0.947,0.97,0.566,5.9,0.586
TXT_0009,language pattern content pattern pattern analysis content system content algorithm analysis,AI,Human,0.131,28.87,0.553,0.603,0.432,0.682,6.6,0.783
TXT_0010,algorithm algorithm detection data analysis algorithm data data analysis detection network,AI,Claude,0.696,89.62,0.253,0.579,0.969,0.339,5.2,0.746
TXT_0011,system generation content language system content algorithm language model,AI,GPT-4,0.206,65.46,0.956,0.232,0.14,0.571,11.9,0.051
TXT_0012,system system algorithm network data language algorithm research,AI,Gemini,0.441,48.59,0.029,0.047,0.587,0.447,11.4,0.893
TXT_0013,data analysis data network data analysis network generation system system,Human,GPT-4,0.065,26.41,0.2,0.945,0.201,0.659,15.9,0.227
TXT_0014,content generation generation language pattern data system analysis learning pattern,AI,Gemini,0.825,94.81,0.242,0.314,0.79,0.051,14.8,0.553
TXT_0015,network system system pattern detection pattern learning pattern system detection data,AI,Gemini,0.126,77.96,0.414,0.443,0.784,0.493,9.5,0.644
TXT_0016,language model generation pattern content network research language language language language learning detection,Human,Gemini,0.903,28.72,0.233,0.115,0.113,0.296,9.1,0.169
TXT_0017,system language content system analysis analysis content detection content,AI,Human,0.864,40.39,0.491,0.837,0.912,0.326,8.3,0.976
TXT_0018,pattern content data system research algorithm detection content network analysis data,AI,Claude,0.465,82.87,0.872,0.028,0.195,0.961,6.7,0.488
TXT_0019,language algorithm detection research algorithm content learning analysis analysis,Human,GPT-4,0.744,72.61,0.712,0.834,0.613,0.183,6.5,0.058
TXT_0020,learning language system model data analysis network analysis algorithm,AI,Claude,0.619,78.92,0.58,0.14,0.986,0.311,6.5,0.937
TXT_0021,detection analysis model model language research system network,Human,Gemini,0.803,49.71,0.089,0.887,0.882,0.51,6.3,0.586
TXT_0022,analysis data model network language generation research system,AI,Gemini,0.432,74.48,0.694,0.73,0.957,0.863,7.6,0.699
TXT_0023,system detection algorithm detection analysis research algorithm network learning model research,Human,Claude,0.786,44.78,0.166,0.165,0.343,0.417,8.4,0.525
TXT_0024,detection analysis content language detection research pattern data learning language detection learning data,Human,Claude,0.462,29.01,0.786,0.566,0.106,0.744,15.6,0.835
